"","real.all_comments.textOriginal"
"1057","1:25 the guy on the left is me right now!!!!!!!!!!!!!!!!!!!!!! I like guns and all that, but this is complete BULLSHIT!!!!!!!!!"
"1058","Cristians terrorist"
"1059","i hear alot of americans saying that stricter gun laws would not help at all because its all about mentally ill people killing others. does that mean america is full of mentally ill people haha"
"1060","Vunqs why cuz it’s a white person"
"1061","Vunqs bitchhhh😂"
"1062","Vunqs you sure fooled me 😓"
"1063","darrel, hard to beat 25 subs, in mommy's basement, fool."
"1064","Newt and your name is Newt lol"
"1065","Tyone Simone yeah"
"1066","Newt your retarded you have 14 subs so f**k off"
"1067","You're kinda retarded"
"1068","They are BLAMING WHITE MEN! These school shooters are ALL spics pretending to be white, so they can ruin the image of white males!!!"
"1069","I'm sure that the gun helps though, I mean, it's a lot harder to kill people by going up to them and shouting ""BANG!"""
"1070","Sst Pilot RIGHT YO THESE LIBTARDS ARE RETARTED"
"1071","Are government can put people on a don't fly list but they can't put them on a don't buy list there's something wrong when you can't get a plain ticket but you can go and buy any gun."
"1072","Crazy people shouldn't own guns. Most of America is crazy. Therefore, most of America shouldn't own guns."
"1073","Jeffrey Sophan The best fn comment on here!!! Thank you!!🤘👏👏👏👏👏"
"1074","People WITH guns kill people"
"1075","Lordchicken Yo Momma Should Slap You!!! Is Meth,Heroin, Cocaine Sold In Stores??"
"1076","You dumb fuck."
"1077","Jeffrey Sophan guns are used to kill people you fucking retard and there would be less chance of these 17 people being killed if there was no guns"
"1078","bias and falsity are different. dumb bitch"
"1079","it rest and peace"
"1080","Lol"
"1081","gabys beanie boos I feel bad for your English teacher, ellipses much. *our"
"1082","FireworkWolf Are u sure about that?"
"1083","1999sonicboom hahah"
"1084","Shxft You just made it worse"
"1085","Shxft 
It wouldn't be funny if anyone died"
"1086","1999sonicboom not funny this is serious it will be funny if you died"
"1087","There have been shooting in canada"
"1088","You want me to shoot up canada?"
"1089","America has the sickest society! there have already been at least 17 school shootings so far in 2018. And they're trying to fix other country's problem. LOL. Their own society is the only problem that they have to fix. Sorry not to sorry."
"1090","Me too"
"1091","1999sonicboom everywhere but america sucks dick"
"1092","J R God does Bless you even in the Smallest u biggest ways. Ima pray for you that u believe in him.Jesus is coming soon,and when he does Your gonna be repenting and saying sorry that you didn't believe in him. But hey I'm not tryna make you feel bad.If I am then I'm sorry. And I dont hate you or nothing. I have alot of atheist friends. Your choice is your choice. God Bless you👼👼👼👼"
"1093","god does not bless me nor do i care"
"1094","J R Im honestly not answering that reply becuz u just dont understand wut I'm saying either that or ur just trying to twist my words. But....... God Bless u. N ur in my prayers_🙏🙏🙏👼👼👼"
"1095","so being a christian means you cant be a shooter ? haha"
"1096","yea and with a knife you can kill 17 people around you right? If someone comes against me with a knife i can run away. Try to run a way from an assault rifle. Your statement is so pointles"
"1097","Slammed Sedan Damn true asf"
"1098","Yuck Fou 😂😂😂"
"1099","Yuck Fou LOLLLLLLL"
"1100","fucking liberal"
"1101","god don't give a fuck about these dirt napers! your stupid ass prayers ain't going to work"
"1102","Ava Bond this is why no one takes gun control seriously."
"1103","jeriah, Are you well? You sound ill. Odd for a bot."
"1104","fuck your prayers. you moron!"
"1105","Oh Trump's responsible for every shooting all democrat's say.. lol"
"1106","Jak Gaming Trump is the reason for all this hate"
"1107","Because this wannabe white DIRTY SPIC wants to shoot up a school??? THIS IS NOT A WHITE PROBLEM, this is a HISPANIC!!! There is an agenda to demonize white males, using inbred spics as martyrs!"
"1108","This is the cops job, quit whining about our president he had nothing to do with this your braindead sheep"
"1109","What do u want him to do"
"1110","sander nielsen, I'll take living in this ""wrong"" country any day. Europe is full of helpless sheep getting rolled over by the muslim immigrant  flood. Good luck and help stop the rape of your women by the  mus-a-lum virus."
"1111","Man, this is pretty extreme. The gun isn’t what’s wrong here but god damn, you just went after everyone"
"1112","Chelsey'sClarity ahh just read, nah it doesn’t matter lmao I was goofing off/bunch of bs no need to waste time, let’s look and move on."
"1113","Reggin Lover hide your kids, hide your wife and hide you ugly cousin cause their raping everybody out here” hahaha I’ll get better dude trust me someday you won’t have to worry"
"1114","Chelsey'sClarity not sure man hahaha I forgot about this, what ever it was, maybe, anyways I’m watching this video on leprechaun in the hood news you should check it out"
"1115","No BLAME SPICS masquerading as full blooded white males!!! These are not white men doing these shootings!! These are inbred spics!!! The hispanics are taking over this country in more way than one!!!"
"1116","†ANGÉ|† Are you talking to me in all the comments cuz I’m confused"
"1117","Your thoughts and prayers will be doing nothing"
"1118","Enrique Díaz god is not real"
"1119","YOU STUPID FUCKING SPICS!!!! Ppl, these are not ""white boys"" THESE are spics pretending to be white!!!!!!!!"
"1120","Enrique Díaz yes, god bless them. And guys, we can pray for the victims and that something is done about gun violence."
"1121","Blood Rush retarded people believe that shit"
"1122","William Flores no he’s should be in jail for life having is head cut off is to much plus he has mental issues is not his fault it’s his health"
"1123","Oh shit! Looks like we got another one.."
"1124","That_1_ Guy kinda spooky that you know so much about guns..."
"1125","."
"1126","Synyster Bullett it is the FBI fault cz he's been reported but they thought it was an empty threat tht a 19 yr could do such thing. N it's the system fault too for being so flawed. I feel like background checks are only bout their parents or grandparents."
"1127","half half the people to blame are the ones who ignored his social media post and everything. Not the gun laws. Not the FBI. He passed the background check because of a flawed system no doubt. But it wasn’t the laws themselves."
"1128","That guy should have thought his fucking future"
"1129","shooterxd23 a Smith and Wesson 500 700 grain buleet does way more damage than a +Grand Taurian so stop being a god damn libeal and its either like the second amendment or you can leave this god damn country pussy ass bitch ohh yeah and btw I am 12"
"1130","shooterxd23 far more deaths happen with handguns due to the concealability"
"1131","John Gotter Competition pistols like the Glock 24"
"1132","Juleka Killashandra You're referencing mental health, not the guns, correct?"
"1133","Stephen2846 A made up term by media and politicians to scare people who don't know anything about guns."
"1134","Finally someone tells the truth about “assault rifles”"
"1135","Brenda Leal fuck that paying tax dollars to keep that piece of shit alive, he deserves the death penalty, they should bring back firing squads for pieces of shit like him. Give him the same chance he gave those poor kids, a bullet to the head."
"1136","😢😢😣😵😥😭😭😭"
"1137","Poor kids who died .he should go to jail 100 years"
"1138","shooterxd23 You are a naive young kid you have no say here at all."
"1139","Zac Rayyis holy fuck you are missinformed"
"1140","Actually he made a threat to a school"
"1141","That’s not true, first of all, of America bans guns, image how much of pussies we would look like, second, banning guns won’t do anything people will still have them because if they are that insane they will get them, third, you need a foid card and the money to get the guns, so if you buy them illegally it will cost a lot more and getting the foid card takes around 3-7 months and on top of that, buying a long rifle gun, you need to buy it and than wait a day, a handgun on the other hand is 3 days. Another thing is that he shot up a school, he’s a dumbass, ok? There’s no way a 19 year old couldve gotten 3 grand for ammo and a gun from his parents he either stole money, the gun, or sold a lot of stuff and bought it. But if guns are banned, people will use other types of guns to kill, also if these kids can get their hands on bombs, how could they not get their hands on a little handgun if guns are banned"
"1142","zac rayyis, (bot?) The framers knew that technology would evolve and our current weapons are/as the muskets in the 1700's. You sound like a fool with candy that was passed out. Try to buy a firearm and see what you go through. Or if you have a clean record go to a Class 3 dealer and learn how buying a machine gun isn't easy and bring at least $10,000."
"1143","Zac Rayyis yeah true let's go start slavery again since people in Africa are still doing it :)"
"1144","snowboardman420 
No, had to bring the vocab down to a level of understanding for snowflakes like you !"
"1145","I love how your comment was edited. Let me guess... to add more (!)"
"1146","KJV1611AV Amen to that!"
"1147","xuregar, I'm gettin' a vaseline machine gun on payday. lol"
"1148","Off course don Lemmon head once he comes on u know it’s bull he has worst ratings in the country"
"1149","Our government can put people on a no-fly list but they can't put people on a don't buy list there's something wrong when you're not allowed to get on an airplane but you're allowed to go to any gun store any gun show and buy a gun."
"1150","Ulquara yeah and someone with a car can have an outburst of anger and kill people but that doesn't matter now does it"
"1151","actually rifles and pistols cant kill, only bullets can."
"1152","NC Steamfan you could be killed with a knife or a bomb,  a person intent on killing is not going to distress themselfs over they  method they use. china has had outnumbers mass knife killings  https://www.cnn.com/2014/03/01/world/asia/china-railway-attack/index.html
look it up a Knife wielding attacker killed 29 and injured 130....."
"1153","Ulquara :Mentally health people do not kill, so weather they could or not is irrelevant, the fact is their are more then 90 million citizens in the US who have guns and do not kill. Switzerland used to be a place with the highest gun to individual ratio and one of the lowest murder rates in the world! suggesting that an intense emotion could cause a person to kill with a gun is just plain ignorant, people have access to knives pretty much all some three hundred + million people in the US have access to knives so why haven't their been mass knife killings?"
"1154","+Karl Sarki My point is that some US laws have flaws and some are straigh stupid."
"1155","dustin Finally a smart person"
"1156","Beast 34500 Go get school"
"1157","Monkey Boi21 my school is hood and we got metal detector"
"1158","Monkey Boi21 ikr"
"1159","these white schools need to bring them metal detectors from nigger schools"
"1160","Are school actually has one now with a security guard....no joke"
"1161","yup and guess what, no shootings there ! so stop complaining fuckers"
"1162","Bruh chan exactly"
"1163","slaiyfershin I didn’t call your original post dumb, I stated that saying a hard drive is similar in price to a gun is not a valid comparison so you would need to come up with a better one to make that argument.   

The other guy used a specific thought process to call others dumb but did the very thing he was calling dumb, therefore he was calling himself dumb.  

You insult my intelligence yet you could not comprehend what I wrote.  Your comparison ability and reading comprehension are lacking."
"1164","You called OP dumb. You called out a fake argument never made by Beater. Not me. And my argument was valid. You are too dumb to continue arguing with apparently."
"1165","slaiyfershin I never insulted you. I called out a poor argument that you made and told you that you need a better argument to prove your point.   You still need a better argument.  Also stop projecting your own behavior onto me with your suicide bomber straw man argument."
"1166","Plymco Pilgrim since you decided to insult me too. Your argument is even more stupid. Bombs have to be made, cannot be immediately detonated unless you're a suicide bomber, and most importantly, NOT SOLD FOR ANY DUMB IDIOT like yourself to buy in stores. Beater never said it was a bad comparison. Nice try with the straw man. Or you truly are dumber than the people you claim are dumb."
"1167","Beater you admit it is a bad comparison then stated that pointing that out is dumb.  By that logic you are dumb......you need to do better too, just like the original poster."
"1168","kevan thats so fucking sick. i have never heard any country having metal detectors and armed police/guards other than america lol. Dont you guys ever think that your country has so many problems"
"1169","Synyster Bullett you my sir are correct it’s stands for Armalite rifle"
"1170","Ziggymackenzie AR stands for ARMALITE RIFLE. Do YOUR research."
"1171","Skaggles the Squirrel thank you, this black guy has no clue what he is sating"
"1172","Yes"
"1173","Henrik Swanström there is no such thing as an ""Assault"" gun!!!
It's all about how the weapon is used 👮🌟👮🌟👮🌟"
"1174","AMERICAN VIKING no, police are trained to ignore it because of that reason exactly. Also people will still call police because when you see it you don't exactly go unto a full detail investigation of the weapon."
"1175","AFRO KELBO Iii"
"1176","AMERICAN VIKING nigga nobody doing that that some shit stupid niggas do"
"1177","Very disturbing"
"1178","THE SPICS are pretending to be white, and are running around shooting schools up! THESE ARE NOT WHITE MEN!!!!! THESE ARE DIRTY SPICS! Our country has a HISPANIC takeover crisis, AND OFCOURSE, somehow the media manages to make it the white man's issue"
"1179","Cardinal Tester8 why is it that you white faggots feel so saying racist stuff when you can’t get caught but are too pussy to say anything in real life in front of minorities."
"1180","It is obviously fake. Plus he was not seen with a gun nor is there any proof. If there is no proof=it didn't happen. It is all just another psy-op designed to terrify & terrorize the people in order to more easily control him. Plus, the 'terrifying' or 'disturbing' image of Cruz with a gun is a joke. The red thing on the tip gives it away that it is not a real gun. ""If you see something say something obviously is useless."
"1181","Red Milk so get rid of guns for common public, so only criminals will have them, great idea! NOT!
As well, what about bombs, they're easy to make and what you need is readily available and legal. Taking guns is not the answer!"
"1182","Jaden Williams do you know all fkn guns except shotguns are semi auto. So in essence you're saying ban all guns except shotguns. Now that's the dumbest statement I've ever heard! Do some research and learn about guns before you open your mouth and look stupid like you just did!"
"1183","anaiahs parents, Sounds like you had a large bowl of ""dumb ass"" for breakfast."
"1184","Callum Davis well then take my gun so you can't be killed by me, then let me grab my car (to run you over), my knife (to stab you), and my rope (to suffocate you)"
"1185","Kevinn Reynoso not sold to civilias, and even if they were. Those things kill the user before they kill the victim. ( fucking bullshittery, thank Glock.)"
"1186","Enter The Hunter therfore the AR15 is not an assault rifle/weapon."
"1187","mahi zen ""shoots very fast"" ""holds many rounds"", really... An AR15 is first off not an assault rifle. ""Assault Rifle"" is a scare tactic made up by the media. Next, if someone is good enough a shot they don't need a hi capacity magazine (notice it is not Called a clip). Another 5 rounds won't matter if I just buy another magazine, so why limit that 5 extra rounds when I can mag dump 3 of those magazines and end up killing the same number of people.

You said the shoot fast, well yes thy do. They shoot as fast as you can pull the trigger, just like every other gun ever created. Full automatic weapons require a special permit with extensive background checks. Lastly tell me this: Why focus on the AR15 and similer rifles? There are many guns that shoot bigger bullets, and do more damage.For example, a shotgun can kill many times more people than an AR15 in just one shot. Please check facts before your facts before spreading more fake propoganda for ""liberal homodumbs"" to use as an argument in their big dumb debates."
"1188","pauljohn0001 are you fucking 8 years old. Take a Grammer class you deluded fuck."
"1189","put trump on admin leave sex is state to state"
"1190","WHEN WILL real AMERICANS realize that these are not WHITE MEN shooting these schools up??? THESE ARE INBRED SPICS, masquerading as white males!!!!"
"1191","Beto G yeah big difference between dumb kids getting drunk and smart kids wanting to save lives instead of getting into car accidents lmaooo"
"1192","October Rain35 No, this is what happens when psychiatrists use antidepressants to make people mentally unstable. The psychiatrists are just as guilty as the shooters. May the Gods open your eyes my friend!"
"1193","October Rain35 Yes, they should accualy do something about mentally unstable people like me"
"1194","This made me cry so hard (harder than I ever have)"
"1195","my prayers go out to all the family's of the victims and to all the friends of the victims. this is so sad I'm crying right now:(😢"
"1196","She is a really brave girl she has so much courage"
"1197","Why do I have a strong feeling this school is going to be haunted"
"1198","I feel so bad for watching this, i am almost crying :("
"1199","Jews"
"1200","I texted my best friend after this and told her how much I love her"
"1201","I watched a different video of the same School Shooting, and the hirl mentioned Samantha's Name and then said this girl Elena got shot. So Samantha and Elena was her Friend........... I feel so sorry for Samantha..........."
"1202","When she said her best friend didn’t make it I lost it and broke down in tears😭😭😭"
"1203","i started crying as soon as she was asked about her friend"
"1204","lies"
"1205","Shes so brave. Everyone at Marjory Stoneman Douglas is brave. i dont know what id do without my bestfriend. And i wish endlessly that i could make school shootings disappear. (i know this comment is late but im doing a speech on school safety form my debate class and i am sadly just now realizing how horrific this is)"
"1206","I almost cried when she said her best friend past away and she tried to hold back her tears"
"1207","Shooter was bullied"
"1208","Ain't she prurrity little thing"
"1209","I mean it sucks but I'm not sugar coating death plays a part of life which EVERYONE should know u can't even control how your death will turn out unless suicide but im still sorry about what happened #freeNICK"
"1210","Bra y'all school shooters are helping Trump taking the 2nd amendment away so that away he can say oh yeah well take the guns away bc of skool shooting so that away he can start martial law and we wouldn't even have guns to defend ourselves"
"1211","I know right"
"1212","Rest in peace to all the victims. Sending love to the families of the victims, the students staff and anyone else effected by this event."
"1213","Just imagine someone shoots through your door and you look to your side and your friend is dead...feels"
"1214","i live in fl. I can’t believe senator Rubio is not taking action on gun support! these students are braver than him and fight for innocent lives. Rubio wants to receive money from NRA. I really don’t like him. The fact that these 17 students that were innocent and that had to go through this! I am definitely not feeling safe in school and I should not be worried about this! #WECALLBS"
"1215","“R u ok” No she’s not she was in a school shooting and she lost her best friend really r u REALLY got me to ask that 😡😡😡"
"1216","I feel so bad we are all praying for you and everybody else how was there"
"1217","Poor friends...."
"1218","Poor kids❤️"
"1219","*YOUR FRIEND HAD RO LIVE SHE saved YOUR LIFE!!! IM ANGRYYYY!*





*rip to all*"
"1220","Learn the truth about these fake gun-grabbing shootings and the phony crisis actors and media shills who participate in them for money, like this girl above. Google: ""Fetzer Florida Shooting"" for a start."
"1221","this made me cry"
"1222","I think being in the 4 floor or if your school big 5 floors is better because it take longer to come up and the cop can get them"
"1223","I would cry for a weak or three if my best best best best favorite friend died"
"1224","Her best friend's name was Helena Ramsay."
"1225","I am CRYING 
Crying 
I'm sad
Very sad
One like one prayer for her and her freind❤"
"1226","😏omg the police don't need bullet proof vest or shields they can just carry around tiny books and all is well we can save the world one tiny book @ a time😉🤔🤦😋 I wonder why no one every market this it could make millions of dollars in fact take it on shark tank😏"
"1227","God bless you sweet girl. And everyone there. Prayers. You all reacted so incredible. So brave."
"1228","Omg these poor people I'm so sorry for the 17 killed fly high beautiful angles😭😭😇😇😇"
"1229","Dylaan roof should not have killed those innocent people either ..Our creator is mysterious"
"1230","😭😭😭"
"1231","People believe that she was just shot in the chest with a rifle! A through and through gun shot wound to the chest.Then she goes back to the school for a interview , the police are still in the back ground! The bullet hit no bone lol!"
"1232","CRYING!!!! :["
"1233","I would die for all the 17 people that were killed. ❤️"
"1234","Man this is tough, some people don’t really understand how damaging it can be when someone your close to stops existing, it is a horrible feeling like one of your limbs got cut off, just so hard to live everyday and continue without a missing loved one"
"1235","poor baby :("
"1236","America and England have the highest and most protective security yet they have the most gun attacks there should be more security at schools to prevent this😕"
"1237","She going the the oscars hope not"
"1238","Somebody please give this girl an academy award"
"1239","Theres more school shootings than compliments"
"1240","I was so sad when she said her friend didn't make it"
"1241","I feel so bad I'm crying :( those poor kids that were innocent and had no reasons to be shot"
"1242","Rip to all of the 17 people who down 😭🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻"
"1243","She cute"
"1244","My friend was next to the school in the middle school they were on lockdown too"
"1245","Omg pray to god who was shooting inocent kids he will go to hell😭😭😭😭"
"1246","So sad"
"1247","Guns destroy your mind and your spirit. They can turn you into a murder. Get rid of your gun before is to late."
"1248","Never Again."
"1249","Aww that is so sad I feel really bad for her 😞😞"
"1250","The Book deterred the bullets wow Florida schools are doing a great job raising criss actors ! No tears but she is really concerned for the ""victims"" ?"
"1251","This girl is a terrible actor.  Stop lying to the people."
"1252","Why are school doors not locked anymore!!!"
"1253","this  was d first time I cried after watching a video"
"1254","i feel so bad for those who lost their loves ones😢💔💕"
"1255","Are they ok"
"1256","musta been some book."
"1257","Rip helena"
"1258","The look on the news reporter that was on the lefts face. A look of sheer horror. No one should ever deserve to be put in that situation. Especially not a child."
"1259","Bring on the paid youtube viewers. You can tell by their comments"
"1260","if he was black he would of got shot"
"1261","Looks good for being shot.  Nice fake tears too"
"1262","Humanity have suffered enough because of guns around the world.  Its time to stop the wars, the crime, the murders, and the division.  Say no to all guns and stand fro peace."
"1263","Fake as sandy hoax...."
"1264","Bahha"
"1265","I felt so bad for this poor girl that is so incredibly sad and awkward that on top of her friend passing she had to be reminded again and you could tell the news people realized that because there was a long silence"
"1266","and I thought being partially deaf was bad"
"1267","I feel so bad for the students there. Who would be crazy and stupid enough to do something like that's just dumb and stupid,  I don't know how to explain my feelings right now."
"1268","You need the prayers if you believe this phony baloney psyop to disarm America and this obioiusly fake crisis actor."
"1269","She's a fraud who belongs in prison. Google: ""Fetzer Fake Florida Shooting"""
"1270","Have another Tide Pod and you'll feel better."
"1271","Very true d M. America has been dumb downed and scared by its own government (under the domination of the Rothschilds/Soros/New World Order Cabal, since the Rothschilds print our money without an audit and use it to bribe, and blackmail our leaders to do their will) into being blindly subservient to their sheep culling ways. 911 caused a lot of people to wake up, and a lot of others to cling to their sheephood. But it is changing. More and more people are waking up every day, even as the New World order tries harder to gull them into stupid acceptance of their crimes. I recommend everyone view ""Sandy Hook Crisis Actors Robbie Parker"" and ""Sandy Hook Crisis Actors David Wheeler"" for a start. Also anything by Jim Fetzer and Ole Damegaard on the subject. ""Jim Fetzer Florida Shooting"" is good. Then research all the fake shootings as you have the time. They all stink to high heaven of a conspiracy to disarm America by subterfuge. We must stand up against the fascist overthrow of our country."
"1272","Joseph Barclay Ross .🙋🤦the girl who cried wolf.
with your book and my book if  we make them the right size we could save lives. can you imagine if the kids at Columbine knew the info but it wasnt thought of till the young lady thought of this BRILLIANT I say BRILLIANT idea do gangs know this secret how to save your life in a drive by hold up a book a tiny one to be specific and you'll only get grazed by bullets but you'll be alive to tell there story. does the book do any other tricks? or is it a one hit wonder"
"1273","Joseph Barclay Ross it's so so sad to know there real is a sucker born EVERY 5  MINUTE it's pathetic people are truly gullible"
"1274","Joseph Barclay Ross 🤔😏🤦🙋🤷ok so her friend that died gave her the idea to get the tiny book but she died why wouldn't she pickup a microscopic book it would have SAVED HER LIFE? I'm just saying🤦🤷😋😉"
"1275","I think the tiny book was titled: ""PINOCCHIO."""
"1276","How about living for your country instead?  Google:  https://www.youtube.com/watch?v=tiRkt1g8jiM    or, if this Youtube Video has been taken down, then:    
https://153news.net/watch_video.php?v=R5XUU1SKHAWX  if you would like to know the truth that will enable you to help keep our whole country from being lied to and exploited and turned into a police state where we have no guns like Nazi Germany and Soviet Russia before they were taken over."
"1277","Maybe you need to electric game some more and ignore reality? Whatever you do, don't google:  https://www.youtube.com/watch?v=tiRkt1g8jiM    or, if this Youtube Video has been taken down, then:    https://153news.net/watch_video.php?v=R5XUU1SKHAWX   You probably couldn't handle the truth."
"1278","It should be delivered to her in prison for treason."
"1279","Or a long prison sentence for fraud and treason."
"1280","Mario Mendoza facts B"
"1281","Electric GamingFTW cause I like her"
"1282","Emoney The King ok so why would you say that"
"1283","hook guns will not make you a murderer"
"1284","NJ videos she is 100% FAKE.  When she said she used a book to block bullets I LMAO....SMH"
"1285","indi13lli you obviously have not lost someone dearly to you. You think she would go on T.V and ball her eyes out? Her way of coping is smiling so no one else knows the pain she is going through. If she balled her eyes out she would be called an attention seeker. So she did an amazing job. My point has been made buh bye."
"1286","The book was called bullshit💩 by Samantha Grady."
"1287","A little respect for a fraud and traitor, that makes a lot of sense, Shantelle. Do some research. Be an informed patriot, not a blind sheep. Then comment."
"1288","scott burns do you think this entire shooting is fake??"
"1289","respect for an actor and a staged event? I don't think so buddy"
"1290","I saw another comment of yours. I just wanna know WTF IS WRONG WITH YOU. I dont get if you think the shooting is fake or if she’s being fake but either way you should show a least a little respect."
"1291","hook how about my rights. Banning guns will not solve anything"
"1292","Angel Stone you obviously have not lost someone dearly to you. You think she would go on T.V and ball her eyes out? Her way of coping is smiling so no one else knows the pain she is going through. If she balled her eyes out she would be called an attention seeker. So she did an amazing job. My point has been made buh bye."
"1293","Mark Fox you obviously have not lost someone dearly to you. You think she would go on T.V and ball her eyes out? Her way of coping is smiling so no one else knows the pain she is going through. If she balled her eyes out she would be called an attention seeker. So she did an amazing job. My point has been made buh bye."
"1294","MK'S World my school have bullet proof glass"
"1295","David Paz ur a horrible human being"
"1296","Donald D  17 acting dead wow"
"1297","Becuz why not.that what inside the shooter mind or maybe"
"1298","Alot"
"1299","Jessica Lee i"
"1300","She didn't say it stopled the bullet but it definitely did slow it down. Get your facts straight"
"1301","Squidy Animations she didn't laugh that was her getting a lump out of her throat to keep her from tearing up.  Your stupid."
"1302","paige brennan stop trying to analyze me and analyze this ""shooting"" instead. I dare you to provide one piece of evidence to prove me wrong. Fake news got you."
"1303","Adolph Hitler I have also some research and 17 people were killed.  It's everywhere.  So when you say I'm a little late at least I know what is correct. Not everyone grieves like you.  I don't want other people to feel my pain so I smile. You don't know her either she probably is going to a therapist. Just because your cold hearted  and want everyone else to feel your pain dosen't mean everyone else does."
"1304","paige brennan the truth is that you've been fooled by the media and these kids. Nobody died during the active shooter drill, second drill of the day. You obviously have not looked into it. Yes I have lost people that were as close as can be. I couldn't smile for a long time. Grieving is such a difficult time to go through. I sure wouldn't be trying to do interviews. You really think this girl is grieving, huh? Maybe that's why she's reading off cue cards. Sorry, this has been proven to be a lie a long time ago. You're a little late to the party."
"1305","Adolph Hitler it's the truth."
"1306","paige brennan nice try"
"1307","you need to wake up and see this is all staged"
"1308","crisis actors"
"1309","this reply was so fake"
"1310","you obviously have not lost someone dearly to you. You think she would go on T.V and ball her eyes out? Her way of coping is smiling so no one else knows the pain she is going through. If she balled her eyes out she would be called an attention seeker. So she did an amazing job. My point has been made buh bye."
"1311","Donald D you idiots"
"1312","Donald D thank you"
"1313","Piper Faulk prove that it’s real"
"1314","mother lovebone its not fake"
"1315","Donald D grow up or get off serious pages"
"1316","Donald D grow up"
"1317","Les Lieb Hey those rubber bullets really do hurt!"
"1318","Les Lieb The cops were there because the security was needed after the shooting. Like when my school got a threat the cops came immediately and they still come time to time to the security and outside of the building."
"1319","They are just insane and think everything is “fake news”."
"1320","ChimChim's Last Name soreh not the right time😂"
"1321","ChimChim's Last Name ARMYYY"
"1322","scott burns Show me proof they weren’t killed. Give me footage from that day that shows me the students were not murdered."
"1323","scott burns Are you really this stupid?
They can show the footage but on YOUTUBE?
This video would be taken down for showing blood and deaths,so theres this really cool thing called google! Go check it out and you can see all the bodies you want to see.
This was a REAL shooting.
Her laughing while talking about her dead best friend is her trying to keep her tears away,it's also called coping.
So if you think this is fake,prove US how it's fake?"
"1324","Carl Grimes lets see the link"
"1325","scott burns there is proof.  Want the link?"
"1326","Mad about all the fake shootings"
"1327","Karra theodore 🙋🤦🤷😏😏🤔she should have picked up a an eraser from the black board and a microscopic book and she would still be here today. if she had use her own advice on HERSELF she would still be with us today🤦the girl on tv will have survivors guilt her friend gave the advice but she didn't make it."
"1328","Tim Drake A hard cover school book can help
Lighten the impact of a bullet but not protect you from it hence why she still got grazed."
"1329","yup....they all are cause this shooting never happened. Just like Las Vegas"
"1330","How do they fake 17 people dead"
"1331","Esteban Grasham Well people definitely died but there are 4 different witnesses who say they saw 2 or 3 shooters"
"1332","The U.S. also has the most corrupt government on the planet and they fake things like this."
"1333","Burn"
"1334","They never said the next day"
"1335","Where’s the other video where she said bullet fragments where in her chest ? Link please. And this wasn’t filmed the next day because the school didn’t open until weeks later."
"1336","Donald D You are really stupid hardcover school books can help lighten the impact and deflect bullets. It’s common sense."
"1337","She sure is able to use big hand when describing the horror after being shot.......amazing"
"1338","I don't think I would be on the news"
"1339","Hi Jenna.  The strongest evidence for the Parkland drill taking place on the same day of the shooting is from the words of the victims themselves.  They are compiled here:
https://www.youtube.com/watch?v=OCJI7UJmr2Q
I'd be more than happy to give sources for the rest, but let's see how we do with this one first."
"1340","j-p k They didn’t have a drill in parkland before the shooting that day. The drill happens once there is an active shooter by drill I mean what we are taught to do in case of a shooting. Also were is the evidence to everything you listed above?"
"1341","Donald D you want her to lift her shirt to show a bullet wound on live tv ??? Then you would say she just put make up on. Also using a hardcover book to deflect a bullet is not impossible. She didn’t say that the book completely protected her from the bullets hence why she got grazed because books are shields but they do help."
"1342","portal2passion you obviously have not lost someone dearly to you. You think she would go on T.V and ball her eyes out? Her way of coping is smiling so no one else knows the pain she is going through. If she balled her eyes out she would be called an attention seeker. So she did an amazing job. My point has been made buh bye."
"1343","CreativeSimmer bruh!!!! U get background checked and if you do it right most people go through training.  A shooter isn’t gonna say, let me go through all the right training so I can do bad stuff"
"1344","Limbo Kid 
sorry no i dont give my information out to strangers."
"1345","Mya L I'm 16 living in Sweden.malmo"
"1346","Mya L add me on whatsup +46704647099"
"1347","Mya L Im Swedish citizen age 15 can I give u ma number.we gonna be friends"
"1348","what do you mean?"
"1349","BraydenLeSavage no"
"1350","Em Gee you obviously have not lost someone dearly to you. You think she would go on T.V and ball her eyes out? Her way of coping is smiling so no one else knows the pain she is going through. If she balled her eyes out she would be called an attention seeker. So she did an amazing job. My point has been made buh bye."
"1351","Me to 😭"
"1352","will park then how come i still remember it?
You can't just ""forget"" a problem after a month. Don't be so dense to think others are as dense as you to just walk right by this."
"1353","James Bryce we are but you clary aren't"
"1354","We don't know 100% if she is lying, its quite possible that some were killed in this false flag."
"1355","Sharlele Tea Room chances are the shooter was once an innocent kid too. But the very people who are crying now made them that way."
"1356","Kennedy Logan Morgan there really is a sucker born every minute and you had the balls to try and get jazzy with ignorant comment and I'm assuming you thought of that BRILLIANT comment all by yourself huh ? a mind really is a terrible thing to waste hey I've got magic beans but they will cost a thousand dollars"
"1357","Hi It's Me🤦😏🤔 Ive got a favor to ask you I know you don't know me from a can of paint but I wanted to know if I could borrow a 1000 dollars till next week when my taxes come in you can trust me I'm a honest person😂😂😂🤦"
"1358","How do you deture bullets with a book?"
