"","comments_real","comments_2012","comments_2013","comments_2014","comments_2015","comments_2016","comments_2017"
"causes",1,1,13,5,5,1,2
"causing",3,0,9,7,2,4,6
"cavalier",1,0,0,0,0,0,0
"cawd",1,0,0,0,0,0,0
"cbet",1,0,0,0,0,0,0
"celebrating",1,0,0,0,0,0,0
"cell",4,0,3,1,0,8,3
"censored",1,0,0,0,0,0,1
"cents",1,0,1,0,0,0,2
"centuries",1,0,0,1,0,0,0
"century",1,0,10,7,3,5,7
"certain",3,2,14,11,7,13,9
"certainly",1,0,7,12,4,2,0
"certainty",1,0,0,0,0,0,2
"cgi",1,0,0,0,0,0,0
"chageity",1,0,0,0,0,0,0
"chain",1,0,2,0,2,0,0
"chains",1,0,0,0,0,1,2
"chair",4,0,1,2,7,57,68
"chairs",1,0,0,1,9,41,52
"challenge",3,4,8,1,1,0,3
"chamber",1,0,0,0,0,0,1
"chan",1,0,1,0,0,1,4
"chance",11,2,12,16,18,62,48
"chancebaylor",1,0,0,0,0,0,0
"chances",3,0,7,4,5,11,4
"change",11,2,60,20,19,16,12
"changed",3,2,13,7,7,16,11
"changes",2,0,5,3,1,4,4
"changing",1,0,2,4,3,2,4
"channel",3,0,12,3,3,5,3
"chaos",2,0,7,9,2,3,2
"charge",1,0,1,2,2,19,12
"charged",2,0,0,0,0,2,1
"charges",2,0,0,0,3,1,0
"charging",1,0,0,0,0,3,0
"charlton",1,0,0,0,0,0,0
"chasing",1,0,0,0,0,4,4
"check",8,2,29,10,10,14,24
"checked",1,0,8,1,1,4,6
"checks",5,0,17,12,5,13,4
"cheeki",2,0,0,0,0,0,2
"cheeks",1,0,1,0,0,0,0
"chelseysclarity",2,0,0,0,0,0,0
"chemical",1,0,1,0,0,0,2
"chemicals",1,0,1,0,1,1,4
"cherry",1,0,0,0,1,0,1
"chest",2,1,1,0,0,5,3
"chestthen",1,0,0,0,0,0,0
"chewy",1,0,0,0,0,0,0
"chiara",2,0,0,0,0,0,0
"chicago",5,0,17,8,4,2,5
"chicagos",6,0,0,0,0,0,0
"chicano",1,0,0,0,0,0,0
"chiefcom",1,0,0,0,0,0,0
"child",8,4,21,8,19,23,26
"children",26,15,43,36,46,84,90
"childrens",2,1,3,1,2,4,4
"childs",1,4,1,1,1,4,2
"chill",1,0,2,1,1,9,10
"chills",1,0,2,2,1,1,3
"chillsðufu¥",1,0,0,0,0,0,0
"chimchims",2,0,0,0,0,0,0
"china",5,1,12,4,3,1,5
"choco",1,0,0,0,0,0,0
"choice",5,1,16,9,0,8,7
"choose",2,3,11,7,3,9,6
"chose",1,0,7,1,1,1,2
"chosen",2,0,2,2,1,2,0
"chr",1,0,0,0,0,0,0
"christ",2,0,4,1,1,6,9
"christian",4,6,9,6,2,4,4
"christians",1,2,9,3,4,2,0
"christmas",1,2,2,2,0,0,4
"chunti",1,0,0,0,0,0,0
"cia",1,0,1,1,1,1,0
"cigarette",1,0,0,0,0,0,3
"cigarettenand",1,0,0,0,0,0,3
"cigarettes",1,0,2,0,0,0,1
"circuits",2,0,0,0,0,0,0
"circus",3,0,0,0,0,0,0
"cite",1,0,1,1,3,0,0
"cited",1,0,0,0,1,0,0
"cities",1,0,14,7,4,0,0
"citing",1,0,0,1,0,0,0
"citizen",2,1,22,11,6,0,1
"citizens",3,4,66,35,15,25,13
"city",3,1,17,11,4,8,11
"citys",1,0,3,0,0,0,0
"civics",1,0,0,0,0,1,0
"civil",1,0,10,3,2,2,1
"civilian",2,2,10,5,0,1,2
"civilians",2,1,30,20,6,4,3
"civilianâuud",1,0,0,0,0,0,0
"civilias",1,0,0,0,0,0,0
"civilised",1,0,1,0,0,1,0
"cjermevpg",1,0,0,0,0,0,0
"claim",3,0,8,4,5,5,2
"claiming",1,0,4,2,1,3,0
"clansmen",1,0,0,0,0,0,0
"clapping",1,0,0,1,0,0,0
"clary",1,0,0,0,0,0,0
"class",22,0,13,10,44,296,439
"classes",1,0,3,4,9,36,46
"classmate",1,0,0,0,0,3,6
"classmates",6,0,4,0,3,25,28
"classroom",4,0,3,2,20,139,205
"classrooms",1,0,0,3,10,30,46
"clayton",1,0,0,0,0,0,0
"clean",2,0,3,1,1,6,2
"cleaned",1,0,0,0,0,1,0
"clear",2,0,8,6,3,17,14
"clearly",7,0,33,4,7,12,13
"clever",2,0,1,0,1,0,4
"cliche",1,0,0,0,0,0,2
"click",4,0,5,0,0,1,3
"clicked",1,0,8,1,0,1,2
"cling",1,0,0,0,0,0,1
"clinton",2,0,3,1,1,0,1
"clip",1,0,10,1,2,8,4
"clogs",1,0,0,0,0,0,0
"close",4,2,16,9,18,48,69
"closed",3,1,2,0,7,14,18
"closer",1,0,0,0,3,1,4
"closest",1,1,0,1,1,10,8
"closet",2,1,2,1,1,18,46
"closing",1,0,2,3,1,4,2
"cloth",1,0,0,1,0,0,0
"clothes",1,0,0,4,0,4,2
"clown",2,0,2,0,1,2,8
"clowns",3,0,1,0,0,7,5
"club",1,0,3,0,1,9,14
"clue",4,1,7,3,3,6,4
"clueless",1,2,1,1,0,1,2
"cmn",1,0,0,0,0,0,0
"cnme",1,0,0,0,0,0,0
"cnn",22,0,7,7,5,3,5
"coating",1,0,0,0,0,0,0
"cocaine",1,1,1,0,2,1,0
"cock",2,0,2,1,0,0,0
"code",3,0,1,0,8,23,29
"codes",1,0,0,1,1,1,1
"coffee",1,0,0,2,0,1,3
"cogan",1,0,0,0,0,0,0
"coherent",1,0,0,0,0,0,0
"cold",5,1,7,7,4,7,8
"collage",1,0,0,0,0,1,1
"collar",4,0,0,0,0,0,0
"college",2,0,7,4,7,9,7
"collpases",1,0,0,0,0,0,0
"colombine",1,1,6,2,5,1,5
"columbine",5,22,135,72,52,129,123
"columbineâu¢âuubâu¢",1,0,0,0,0,0,0
"combined",4,2,11,2,0,1,1
"come",33,9,65,32,41,162,168
"comes",7,2,28,8,23,124,154
"comical",1,0,0,0,0,0,0
"coming",13,4,20,11,20,34,74
"comment",21,6,75,17,13,37,25
"commenting",3,2,0,5,1,0,0
"comments",10,4,20,15,15,22,19
"commie",1,0,2,0,0,0,0
"commit",17,3,23,19,9,2,2
"commited",2,0,6,1,0,0,1
"committed",4,2,18,14,8,3,2
"committing",3,1,7,6,3,1,2
"common",8,2,23,12,23,25,16
"commonly",1,0,1,1,3,0,2
"communicates",1,0,0,0,0,0,0
"communicating",1,0,0,0,0,0,0
"community",3,0,3,14,8,4,6
"comon",1,0,0,0,0,0,0
"comonly",1,0,0,0,0,0,0
"compact",2,0,0,0,0,1,1
"companies",1,0,0,1,4,0,0
"company",2,0,3,0,5,0,0
"compare",2,3,17,8,6,3,1
"compared",1,0,20,8,3,5,2
"comparison",14,4,6,2,4,1,1
"compassion",1,0,3,1,0,0,0
"compassionate",2,0,1,0,0,0,0
"compatible",1,0,0,0,0,0,0
"competently",1,0,0,0,0,0,0
"competition",1,1,5,1,3,0,1
"compiled",1,0,0,0,0,0,0
"complain",1,0,4,0,1,3,4
"complaining",2,0,2,1,4,7,2
"complaint",1,0,0,0,0,0,0
"complementing",1,0,0,0,0,0,0
"complete",4,0,17,6,4,6,10
"completely",4,2,32,21,14,21,18
"compliments",1,0,0,0,0,0,0
"comprehend",2,1,2,0,1,2,2
"comprehension",1,0,1,0,2,0,0
"computer",1,0,7,2,2,4,12
"comã©die",1,0,0,0,0,0,0
"conceal",3,1,4,2,4,3,3
"concealability",1,0,0,0,0,0,0
"concealable",5,0,0,0,0,0,0
"concealed",6,0,25,13,8,8,8
"concelible",1,0,0,0,0,0,0
"concerned",1,1,6,2,1,4,1
"concernnnever",1,0,0,0,0,0,0
"concert",1,0,0,0,1,1,3
"concieled",1,0,0,0,0,0,0
"conditioning",1,0,0,0,1,2,1
"condolence",1,0,0,0,0,0,0
"condolences",2,1,2,2,0,0,0
"condom",1,0,0,0,0,0,0
"condone",2,1,1,1,0,0,0
"confessed",1,0,0,0,0,0,0
"confinement",5,0,1,0,0,0,0
"confirm",2,0,0,0,0,0,1
"conflicting",1,0,0,0,0,0,0
"confronted",1,0,0,0,1,1,1
"confused",2,0,1,4,0,6,11
"conga",1,0,0,0,0,0,0
"congressional",1,0,1,0,0,0,0
"congresswoman",1,0,0,0,0,0,0
"connect",2,0,0,0,0,1,0
"consent",1,0,0,5,1,1,0
"consequences",2,0,4,3,1,2,1
"conservative",1,1,1,1,1,3,1
"consider",1,1,12,5,3,6,4
"considered",3,4,5,5,5,6,0
"considering",3,1,15,3,1,4,9
"conspiracies",1,0,0,0,2,1,3
"conspiracy",5,0,8,6,12,11,1
"constant",1,0,3,0,2,1,0
"constantly",1,0,2,2,2,4,2
"constitution",1,1,14,21,13,1,3
"contagion",1,0,0,0,0,0,0
"contain",1,0,4,2,0,0,0
"content",1,0,7,1,1,0,2
"contest",1,0,1,2,0,1,0
"continue",3,1,11,9,8,15,14
"continues",1,0,3,3,2,0,5
"contradicted",1,0,1,0,0,0,0
"contradicting",1,0,0,2,0,0,0
"contradictory",1,0,0,0,0,0,0
"control",37,10,129,73,63,62,37
"convenient",1,0,1,2,2,2,1
"conversations",1,0,1,1,0,0,0
"converts",1,0,0,0,0,0,0
"convict",2,0,1,0,2,0,0
"convicted",7,0,0,0,4,0,0
"conviction",1,0,0,0,0,0,0
"convictions",2,0,2,0,1,0,0
"convincing",1,0,2,0,0,1,1
"cookie",1,0,0,1,0,1,0
"cool",11,0,18,3,5,18,32
"cooldrix",1,0,0,0,0,0,0
"coordinated",1,0,0,0,1,0,0
"cop",11,1,13,8,5,9,18
"copied",1,0,0,0,0,0,0
"coping",7,0,0,0,0,0,0
"copingnso",1,0,0,0,0,0,0
"cops",35,1,24,15,14,44,54
"copycat",1,0,1,1,2,0,0
"copycats",1,0,1,0,0,0,1
"copying",1,0,0,0,0,0,0
"corner",2,0,3,3,57,328,320
"corporal",1,0,0,0,0,0,0
"correct",3,2,17,12,6,9,3
"correctional",1,0,0,0,0,0,0
"correctly",2,0,6,2,3,1,1
"correctness",1,0,0,0,0,1,0
"corrupt",7,0,3,1,4,1,2
"corrupted",1,0,0,1,1,0,0
"corruption",1,0,1,0,0,1,0
"corrupts",10,0,0,0,0,0,0
"cost",2,1,5,5,6,1,7
"costs",2,0,0,0,3,1,0
"couch",2,0,0,0,0,0,0
"cought",1,0,0,0,0,0,0
"could",2,0,6,0,2,7,5
"coulda",1,0,0,0,0,0,0
"couldnâuut",3,0,0,0,0,0,3
"couldve",1,0,0,0,0,1,0
"councilor",1,0,1,0,0,0,0
"count",1,21,16,3,2,5,8
"countdown",1,0,7,0,0,0,0
"countries",5,20,83,31,17,20,13
"country",36,14,197,88,67,103,86
"countrys",1,0,5,2,1,2,4
"countryâ",1,0,0,1,0,0,0
"county",14,1,7,4,5,1,5
"couple",4,2,12,7,9,23,23
"courage",1,0,2,0,1,1,6
"course",13,5,29,14,9,33,33
"court",7,1,8,4,3,1,7
"courthouse",2,0,0,0,0,0,0
"courtroom",3,0,1,0,0,0,0
"cousin",4,0,3,2,5,4,7
"cousins",1,0,0,0,0,0,0
"coutry",1,0,0,0,0,0,0
"cover",2,0,3,5,8,47,38
"coverage",6,0,6,3,3,0,0
"coward",5,0,2,2,1,3,2
"cowards",1,0,7,7,2,4,5
"cowboy",1,0,0,0,1,0,3
"cps",1,0,0,0,0,0,0
"crack",3,0,2,2,2,4,2
"crap",2,1,16,10,2,24,35
"crappiest",1,0,0,0,0,0,0
"crashes",1,0,0,0,0,0,0
"crazies",5,0,5,1,0,0,0
"crazy",18,7,80,49,29,58,48
"crazyi",1,0,0,0,0,0,0
"created",4,2,15,13,4,8,3
"creativesimmer",1,0,0,0,0,0,0
"creator",1,0,0,1,0,1,0
"creators",1,0,0,0,0,0,0
"creatures",1,0,2,2,0,0,0
"creepy",2,0,10,9,2,3,2
"creppy",1,0,0,0,0,0,0
"cretino",1,0,0,0,0,0,0
"cried",7,1,3,2,4,16,18
"cries",3,1,0,0,0,3,3
"criesðufu­ðufu­",1,0,0,0,0,0,0
"crimals",1,0,0,0,0,0,0
"crime",24,11,133,74,44,28,9
"crimed",1,0,0,0,0,0,0
"crimes",12,7,47,35,14,12,0
"crimeslike",1,0,0,0,0,0,0
"crimeslord",1,0,0,0,0,0,0
"criminal",8,1,40,21,16,8,7
"criminallike",1,0,0,0,0,0,0
"criminals",11,12,78,46,50,18,14
"criminas",1,0,0,0,0,0,0
"criminologists",1,0,0,0,0,0,0
"crimnals",1,0,0,0,0,0,0
"cringy",1,0,0,0,0,6,4
"crisis",8,0,3,0,3,2,7
"criss",1,0,0,0,0,0,0
"cristians",1,0,0,0,0,0,0
"crock",1,0,0,0,0,0,0
"croniesnnuse",1,0,0,0,0,0,0
"cronyinsts",4,0,0,0,0,0,0
"cronysocialist",1,0,0,0,0,0,0
"crooked",1,0,0,0,0,1,2
"cross",2,1,1,0,0,1,1
"crosscutting",1,0,0,0,0,0,0
"crossing",1,0,6,0,0,0,2
"crown",2,0,0,0,0,0,0
"crucified",1,0,0,1,0,0,0
"cruel",4,0,3,1,2,0,4
"crumbleshoggwash",1,0,0,0,0,0,0
"cruz",43,0,0,0,0,2,0
"cruzjust",1,0,0,0,0,0,0
"cruzs",1,0,0,0,0,0,0
"cruzzz",1,0,0,0,0,0,0
"cry",9,1,7,1,4,28,32
"cryed",2,0,1,0,0,0,0
"crying",21,1,8,3,8,29,65
"cryingjust",1,0,0,0,0,0,0
"csgo",1,0,0,0,0,1,1
"cue",1,0,0,0,0,0,1
"cuff",1,0,0,0,0,0,0
"culling",1,0,0,0,0,0,0
"culturalnorms",1,0,0,0,0,0,0
"culture",4,6,39,31,9,6,3
"cultures",1,0,1,1,1,0,0
"cunningham",1,0,0,0,0,0,0
"cunsumes",1,0,0,0,0,0,0
"cunt",3,0,13,0,1,16,3
"cunts",1,1,2,0,1,2,3
"curb",1,0,0,2,2,0,0
"current",2,1,8,3,1,1,1
"cursing",1,0,0,0,0,1,0
"cus",1,0,1,1,0,5,7
"custody",3,0,1,1,0,1,0
"custom",2,0,0,0,1,0,0
"cut",12,0,15,4,2,5,12
"cute",4,0,1,0,1,4,4
"cutters",1,0,2,0,0,0,0
"cuz",13,2,1,4,4,24,54
"cuzz",1,0,0,0,0,0,0
"cybergunkwc",1,0,0,0,0,0,0
"cycle",1,0,2,0,0,0,0
"daddy",1,0,0,0,0,1,1
"dads",2,0,2,1,1,4,4
"daed",1,0,0,0,0,0,0
"daily",2,1,7,1,0,7,1
"daly",2,0,0,0,0,0,0
"dam",1,0,5,3,2,3,2
"damage",4,0,8,6,2,7,8
"damagefor",1,0,0,0,0,0,0
"damaging",1,0,0,0,1,1,1
"dame",1,0,0,0,0,0,2
"damegaard",1,0,0,0,0,0,0
"damit",1,0,1,0,0,0,0
"damn",23,8,38,25,14,78,84
"damnit",1,0,0,0,0,4,2
"dan",2,0,3,2,3,3,3
"dance",1,0,0,2,0,2,1
"dancer",1,0,0,0,0,0,0
"danger",2,0,2,3,7,20,29
"dangerous",8,1,17,14,13,14,25
"dangers",1,0,0,0,1,3,0
"daniel",6,0,1,0,4,4,1
"dann",2,0,0,0,0,0,0
"danny",1,0,0,0,1,2,0
"dare",2,0,5,3,0,3,0
"darfur",1,0,1,0,0,0,0
"dark",4,0,12,6,5,31,30
"darkhumoured",1,0,0,0,0,0,0
"darn",1,0,1,0,1,3,3
"darrel",1,0,0,0,1,0,0
"das",1,0,1,0,0,0,1
"dat",3,0,3,0,0,21,14
"data",1,3,8,1,9,0,0
"daughter",2,0,4,2,2,1,7
"daughters",2,0,2,0,0,0,1
"david",7,1,3,4,4,7,3
"davis",1,0,0,0,0,0,0
"day",45,9,77,41,50,115,162
"daynhe",1,0,0,0,0,0,3
"days",8,11,90,51,18,51,60
"dbz",1,0,0,0,0,0,0
"dead",34,6,39,18,25,126,136
"deadass",1,0,0,0,0,0,2
"deader",1,0,0,0,0,0,0
"deadfeels",1,0,0,0,0,0,0
"deadly",3,2,11,7,3,3,6
"deadnhttpswwwlightonconspiraciescomfloridaobituariesshowparklandschoolshootingdeaths",1,0,0,0,0,0,0
"deaf",1,0,0,0,0,1,0
"deal",9,2,14,13,8,16,18
"dealer",1,0,1,1,6,2,1
"deals",2,0,1,1,1,0,0
"dear",1,1,3,4,3,3,5
"dearly",7,0,0,0,0,0,0
"dears",1,0,0,0,0,0,0
"death",90,3,60,29,28,45,46
"deathcount",5,0,0,0,0,0,0
"deathilluminati",1,0,0,0,0,0,0
"deathnlike",1,0,0,0,0,0,0
"deathrow",1,0,0,0,0,0,0
"deaths",7,14,43,24,22,19,26
"debate",4,0,15,3,2,3,2
"debates",2,0,2,1,0,1,0
"decades",1,0,4,3,0,1,0
"deceased",5,0,0,0,1,0,1
"deceiver",1,0,0,0,0,0,0
"decent",1,1,3,0,3,0,4
"deception",1,0,0,0,0,0,0
"decide",3,1,5,8,7,7,4
"decided",8,0,7,4,5,10,10
"decision",1,2,1,3,1,1,2
"decrease",2,0,4,1,2,0,1
"dedicate",2,0,2,0,0,0,0
"deep",4,2,4,4,1,4,8
"deeper",2,0,1,2,0,0,0
"defence",1,1,7,4,6,10,10
"defend",5,2,52,31,9,36,33
"defended",1,0,0,1,1,1,1
"defending",2,1,10,3,0,8,3
"defensethe",1,0,0,0,0,0,0
"definitely",4,1,14,5,6,15,15
"definition",2,0,11,1,6,0,1
"deflate",1,0,0,0,0,0,0
"deflect",2,0,0,0,0,0,1
"degenerate",1,0,0,0,1,0,1
"degenerated",1,0,0,0,0,0,0
"degrading",1,0,0,0,0,0,0
"dehydration",1,0,0,0,0,0,0
"delateur",1,0,0,0,0,0,0
"deleon",2,0,0,0,0,0,0
"deliberately",2,0,0,0,0,1,0
"delicate",1,0,0,1,0,0,0
"delivered",2,0,0,0,0,1,0
"deluded",2,0,0,1,0,1,0
"delusional",4,0,1,2,1,1,2
"dem",8,0,1,2,0,4,1
"demhawaii",1,0,0,0,0,0,0
"democrat",3,0,3,0,0,1,0
"democratcreated",5,0,0,0,0,0,0
"democrathawaii",1,0,0,0,0,0,0
"democratic",1,3,1,3,1,0,1
"democraticsocialists",1,0,0,0,0,0,0
"democrats",10,0,9,2,1,1,2
"democryptsjust",1,0,0,0,0,0,0
"demon",1,0,1,0,0,1,0
"demonize",1,0,1,0,0,0,0
"demons",1,0,3,0,0,0,1
"dems",2,0,0,0,0,0,0
"den",2,0,0,0,0,2,0
"denen",1,0,0,0,0,0,0
"denominator",1,0,0,0,0,0,0
"dense",2,0,0,0,0,0,0
"deny",2,0,3,2,3,2,4
"denying",1,0,1,1,1,1,0
"deployment",1,0,1,1,1,0,0
"depressed",1,0,4,1,1,2,4
"depressing",1,0,1,0,1,2,1
"dept",2,0,0,1,1,0,1
"deputies",10,0,1,0,0,0,0
"der",6,0,0,0,0,0,0
"deranged",2,0,4,3,1,0,1
"des",3,0,0,0,0,2,0
"described",1,0,1,1,2,1,0
"describing",1,0,1,3,0,1,0
"description",1,0,18,6,0,2,1
"deserve",24,2,13,16,5,5,4
"deserved",4,0,2,1,1,3,2
"deserver",1,0,0,0,0,0,0
"deserves",19,0,3,3,2,1,3
"designed",3,2,6,3,1,0,1
"desire",1,0,2,2,0,0,0
"desiresdisturbing",1,0,0,0,0,0,0
"desk",1,0,1,3,28,140,196
"despicable",1,0,0,2,1,0,0
"despite",7,0,6,3,4,3,3
"despotic",1,0,0,0,0,0,0
"despots",16,0,0,0,0,0,0
"destination",1,0,0,0,0,0,0
"destroy",2,0,6,1,4,2,1
"destruction",3,0,4,3,1,0,0
"desu",1,0,0,0,0,0,0
"detail",1,0,1,1,1,1,2
"detailed",1,0,0,0,0,0,1
"detected",1,0,0,0,0,0,0
"detector",1,0,0,0,1,1,0
"detectors",23,0,1,1,2,3,2
"detention",2,0,1,0,0,2,4
"deterred",2,0,0,2,0,0,0
"deterrent",1,0,0,3,0,0,0
"detest",1,0,0,0,0,0,0
"detonated",1,0,2,1,0,1,0
"deture",1,0,0,0,0,0,0
"devastating",1,0,1,1,3,0,0
"development",1,1,0,0,0,1,0
"device",1,0,3,1,1,0,3
"devil",3,0,5,0,1,5,1
"devilish",1,0,1,0,0,0,0
"devoid",1,0,0,0,0,0,0
"devotees",1,0,0,0,0,0,0
"devotion",1,0,0,0,0,0,0
"dhuart",1,0,0,0,0,0,0
"diamond",1,0,1,0,1,0,1
"dice",1,0,1,0,0,0,0
"dick",10,0,8,7,3,10,12
"dickies",1,0,0,0,0,0,0
"dicks",1,0,4,1,0,1,1
"dickâuud",1,0,0,0,0,0,0
"dictate",2,0,1,0,0,0,0
"did",9,4,17,8,4,19,23
"dided",1,0,0,0,0,0,0
"didnt",9,3,31,5,12,19,21
"didnâuut",12,0,0,0,2,0,17
"die",61,4,35,26,34,159,176
"died",52,4,40,32,23,36,49
"diednnyeah",1,0,0,0,0,0,0
"diedâua°stay",1,0,0,0,0,0,0
"diedâuud",1,0,0,0,0,0,0
"diedðufu­ðufu­ðufu­ðufu­ðufu­",1,0,0,0,0,0,0
"dient",1,0,0,0,0,0,0
"dies",6,0,2,1,3,12,8
"dieâuud",1,0,0,0,0,0,0
"diff",2,0,0,0,0,0,0
"difference",7,4,24,10,9,7,18
"differensnnðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuunnnnnnif",1,0,0,0,0,0,0
"different",5,7,52,24,20,29,33
"difficult",3,0,6,6,5,0,4
"dig",1,0,1,0,0,0,1
"digger",1,0,0,0,0,0,0
"dignity",1,0,1,0,1,0,0
"dina",1,0,0,0,0,0,0
"dindu",1,0,0,0,0,0,0
"dindunuffin",1,0,0,0,0,0,0
"dinner",2,0,0,0,0,0,3
"dinners",1,0,0,0,0,0,3
"dippoint",1,0,0,0,0,0,0
"directly",4,0,4,3,0,5,4
"directy",1,0,0,0,0,0,0
"dirt",1,0,1,0,0,1,0
"dirty",3,0,0,1,1,4,1
"dis",1,0,1,0,0,4,6
"disagreed",1,0,0,0,0,0,0
"disappear",1,0,1,3,3,0,1
"disappointing",1,0,0,0,0,0,0
"disarm",11,0,14,5,5,50,21
"disarmed",4,0,1,4,3,1,4
"disarmeed",5,0,0,0,0,0,0
"disasters",1,0,3,1,1,1,0
"discern",2,0,0,0,0,0,0
"discluded",1,0,0,0,0,0,0
"discriminated",1,0,0,0,0,0,0
"discrimination",1,0,2,0,0,0,0
"discussed",1,0,1,0,1,0,2
"disease",2,0,2,1,0,1,0
"diserve",1,0,0,0,0,0,0
"disgrace",3,0,3,1,0,0,0
"disguised",1,0,0,0,0,0,0
"disguiseðufu¯ðufu¯ðufu¯ðufu¯ðufu¯",1,0,0,0,0,0,0
"disgusted",1,0,0,0,0,0,0
"disgusting",7,5,9,6,2,6,4
"disgustingâuud",1,0,0,0,0,0,0
"dislike",1,0,5,3,1,1,1
"disliked",1,0,1,0,0,1,1
"dismissed",1,0,0,0,1,1,0
"disorder",1,1,6,1,1,3,3
"disorders",1,0,1,2,1,1,0
"dispatch",1,0,0,0,0,0,1
"dispatcher",1,0,0,0,0,0,0
"display",2,0,2,2,6,0,0
"displeased",3,0,0,0,0,0,0
"disproportionate",3,0,0,0,0,0,0
"disprove",1,0,0,2,0,0,0
"disrespect",1,0,3,0,0,0,1
"disrespectful",1,0,7,1,0,1,1
"distraught",1,0,0,0,0,0,0
"distress",2,0,0,0,0,1,1
"distressthanks",1,0,0,0,0,0,0
"districts",1,0,0,0,2,1,2
"disturbing",4,0,2,0,2,2,0
"ditch",1,0,3,0,2,2,1
"division",2,0,0,0,0,0,0
"diy",5,0,0,0,0,0,0
"djan",1,0,0,0,0,0,0
"djecu",1,0,0,0,0,0,0
"dlc",1,0,0,0,0,0,0
"dndie",1,0,0,0,0,0,0
"doctor",1,0,1,1,1,0,4
"doctors",1,0,3,2,0,2,1
"doe",2,0,0,0,1,1,2
"does",4,0,8,8,3,9,10
"doesnt",12,0,36,10,10,17,25
"doesntâuub",1,0,0,0,0,0,0
"doesnâuut",4,0,0,0,0,0,5
"dog",8,0,3,2,1,7,10
"dogs",4,1,0,0,2,3,5
"doingnntrump",1,0,0,0,0,0,0
"doings",1,0,1,0,0,0,0
"dolen",1,0,0,0,0,0,0
"dollars",7,1,7,7,6,2,2
"domestic",1,0,3,1,0,3,1
"dominant",1,0,0,0,0,0,2
"domination",1,0,0,1,0,0,0
"don",15,0,1,0,1,3,2
"donald",13,0,0,0,1,10,12
"done",38,2,46,29,30,60,67
"donut",1,0,0,0,0,0,3
"donâuut",29,2,0,1,0,0,34
"doomedif",1,0,0,0,0,0,0
"door",4,0,8,12,97,496,611
"doors",3,0,2,7,30,167,267
"dopey",4,0,0,0,0,0,0
"doppelganger",1,0,0,0,0,0,0
"dose",1,0,4,0,0,2,4
"dosent",1,0,2,1,0,5,5
"doses",1,0,0,0,0,0,0
"dosing",1,0,0,0,0,0,0
"dots",2,0,1,0,0,1,0
"doubt",2,0,17,5,3,9,8
"douche",1,1,2,0,2,4,0
"douglas",2,0,0,0,0,0,0
"down",1,0,4,4,2,12,29
"downed",1,0,0,1,0,0,0
"downings",1,0,0,0,0,0,0
"dozen",1,0,0,3,3,2,2
"dozens",1,0,0,0,1,3,3
"drag",1,0,0,0,0,0,1
"drake",1,0,0,0,0,0,0
"drama",2,0,0,0,0,8,17
"drawn",1,0,2,1,1,2,3
"dream",1,0,5,4,0,2,5
"dreams",4,0,1,4,2,1,5
"dress",2,0,0,3,0,4,0
"dressed",1,0,0,3,0,4,3
"drgon",1,0,0,0,0,0,0
"drill",13,0,0,8,107,651,937
"drink",3,0,4,1,10,4,2
"drinker",1,0,0,0,0,0,0
"drinking",1,0,0,9,5,1,1
"drive",5,0,11,13,7,7,5
"driven",2,0,0,0,2,1,1
"drivers",2,0,6,0,1,3,2
"drives",1,1,2,3,0,0,0
"driving",1,0,7,4,7,2,2
"drop",1,0,3,3,3,12,21
"dropped",1,0,4,0,1,1,8
"dropping",1,0,3,2,0,1,1
"drove",2,0,2,1,3,2,4
"drug",1,0,20,11,22,6,5
"drugged",2,0,1,0,0,0,1
"drugging",1,0,0,1,0,0,0
"drugrelated",1,0,0,0,0,0,0
"drugs",8,8,40,20,18,9,7
"drunk",11,0,13,12,8,2,2
"drunken",1,0,0,0,0,0,0
"dub",2,0,0,0,0,2,0
"dublin",1,0,0,0,0,0,0
"duck",2,0,1,6,5,34,36
"ducking",1,0,1,0,3,8,5
"dude",16,2,30,10,14,52,66
"dudukukudundunnpoom",1,0,0,0,0,0,0
"due",2,0,16,16,4,9,10
"dumb",33,3,43,21,11,45,65
"dumbass",7,2,23,5,8,18,10
"dumbasses",1,1,2,1,0,7,8
"dumber",1,0,1,0,0,0,0
"dumbest",1,0,1,2,3,7,7
"dumbfucks",1,0,0,0,1,0,0
"dumby",1,0,0,0,0,0,0
"dummies",1,0,1,0,0,0,0
"dummy",1,0,2,0,0,1,1
"dump",1,0,1,0,1,2,0
"dun",1,0,0,0,0,2,1
"dustin",1,0,0,0,0,0,0
"dutka",2,0,0,0,0,0,0
"duty",1,0,9,1,3,6,7
"dwarf",1,0,0,1,0,1,0
"dwn",1,0,0,0,0,0,0
"dylaan",1,0,0,0,0,0,0
"dã­az",2,0,0,0,0,0,0
"eager",1,0,0,0,0,0,0
"early",2,1,9,1,4,6,11
"earned",1,0,1,0,0,1,1
"ears",2,0,2,1,0,0,1
"earth",10,3,22,8,5,5,8
"earthcampercomvinay",1,0,0,0,0,0,0
"earthnoh",1,0,0,0,0,0,0
"easier",4,7,24,8,12,38,47
